,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.252113342285156,4.849120763878124,[[1.68642787 0.89405632]],3.581673145294189,3.680847427370924,[[1.18933707 0.87267242]],31.26452160579145,"[13.075553634661311, 18.65517165842644]",199412059291501.5,"[31494965398964.53, 42246982505713.34]",0.1522435122446231,[[0.09477158 0.27084469]],0.2259548725253417,[[0.12646979 0.24323404]],0.3,4.252113342285156,4.8491207638781235,[[1.68642787 0.89405632]],3.5816731452941895,3.6808474273709235,[[1.18933707 0.87267242]],31.26452160579145,"[13.075553634661311, 18.65517165842644]",199412059291501.5,"[31494965398964.53, 42246982505713.34]",0.15224351224462318,[[0.09477158 0.27084469]],0.2259548725253417,[[0.12646979 0.24323404]]
1,0.6,8.97927188873291,9.3357425467662,[[2.03690089 1.90980113]],7.987300395965576,8.141482398464394,[[0.81729832 0.6940515 ]],26.377180519251556,"[6.091445316235539, 7.948412877135489]",481550786990224.1,"[38076337838804.69, 54243837943615.06]",0.4836331749760894,[[0.19368677 0.31890876]],0.6654737913904669,[[0.21911764 0.29045763]],0.6,8.97927188873291,9.3357425467662,[[2.03690089 1.90980113]],7.987300395965576,8.141482398464394,[[0.81729832 0.6940515 ]],26.377180519251553,"[6.091445316235539, 7.948412877135489]",481550786990224.1,"[38076337838804.69, 54243837943615.06]",0.4836331749760894,[[0.19368677 0.31890876]],0.6654737913904669,[[0.21911764 0.29045763]]
2,0.9,6.570132732391357,7.021406002268558,[[2.18347934 2.08127422]],6.116665840148926,6.298005895644126,[[0.91386654 0.84789303]],24.253014970148044,"[7.241427730123167, 10.333596782640718]",348529622141235.5,"[34693328026396.125, 59658632717822.25]",0.3991138986692239,[[0.19651507 0.38467822]],0.5264677570867756,[[0.21369675 0.30227165]],0.9,6.570132732391357,7.021406002268558,[[2.18347934 2.08127422]],6.116665840148926,6.298005895644126,[[0.91386654 0.84789303]],24.253014970148044,"[7.241427730123167, 10.333596782640718]",348529622141235.5,"[34693328026396.125, 59658632717822.25]",0.3991138986692239,[[0.19651507 0.38467822]],0.5264677570867756,[[0.21369675 0.30227165]]
3,1.2,6.346589088439941,6.957668055175532,[[1.74247066 1.22340969]],5.444021701812744,5.569177615953727,[[1.23987005 0.71917596]],29.288613146164625,"[8.908381697184957, 14.383212910445895]",309267558507258.1,"[32952792960176.375, 45410906050970.94]",0.2626715954298463,[[0.14301213 0.26499107]],0.3792352564037627,[[0.17963377 0.25109359]],1.2,6.346589088439941,6.957668055175532,[[1.74247066 1.22340969]],5.444021701812744,5.569177615953727,[[1.23987005 0.71917596]],29.288613146164625,"[8.908381697184957, 14.383212910445895]",309267558507258.1,"[32952792960176.375, 45410906050970.94]",0.26267159542984636,[[0.14301213 0.26499107]],0.3792352564037627,[[0.17963377 0.25109359]]
4,1.5,7.599102020263672,7.780516371871506,[[2.4027395  3.05230169]],7.332788944244385,7.468259188145259,[[1.19726268 1.489028  ]],22.14352567351417,"[5.858356789059457, 7.463887011905673]",437578125167819.1,"[42926804022493.75, 109883591202905.06]",0.5756347631190192,[[0.2462814 0.53922  ]],0.7224300719087159,[[0.24468259 0.4183736 ]],1.5,7.599102020263672,7.7805163718715065,[[2.4027395  3.05230169]],7.332788944244385,7.468259188145259,[[1.19726268 1.489028  ]],22.14352567351417,"[5.858356789059457, 7.463887011905673]",437578125167819.1,"[42926804022493.75, 109883591202905.06]",0.5756347631190192,[[0.2462814 0.53922  ]],0.7224300719087159,[[0.24468259 0.4183736 ]]
5,1.8,9.568395614624023,10.023297559955775,[[1.3912579  0.88753406]],7.256082057952881,7.302875023597859,[[1.3497796  1.08227273]],36.98609472804068,"[8.928449874598854, 12.142499811508237]",453584885402134.3,"[38904625967485.69, 47587974852945.56]",0.2614696633592684,[[0.11546166 0.19471673]],0.4135025913697246,[[0.16181238 0.23264224]],1.8,9.568395614624023,10.023297559955775,[[1.3912579  0.88753406]],7.256082057952881,7.302875023597859,[[1.3497796  1.08227273]],36.98609472804068,"[8.928449874598854, 12.142499811508237]",453584885402134.3,"[38904625967485.69, 47587974852945.56]",0.26146966335926847,[[0.11546166 0.19471673]],0.41350259136972467,[[0.16181238 0.23264224]]
6,2.1,11.17001724243164,11.430292953871774,[[2.0107994  1.97216878]],9.781512260437012,9.915889460384866,[[0.76669417 0.69937121]],27.67382885481705,"[5.2857781282976894, 6.345952991426522]",624001488511226.4,"[42589500065578.125, 61387581457211.75]",0.5806627568323516,[[0.1947951 0.3061818]],0.8172827352560987,[[0.22525448 0.30269103]],2.1,11.17001724243164,11.430292953871774,[[2.0107994  1.97216878]],9.781512260437012,9.915889460384866,[[0.76669417 0.69937121]],27.673828854817046,"[5.2857781282976894, 6.345952991426522]",624001488511226.4,"[42589500065578.125, 61387581457211.75]",0.5806627568323516,[[0.1947951 0.3061818]],0.8172827352560987,[[0.22525448 0.30269103]]
7,2.4,8.950225830078125,8.873938420171058,[[2.44814773 4.50125572]],9.482054710388184,9.536165595987846,[[1.87650073 3.7318731 ]],19.08535861332583,"[3.3151960508136895, 4.654894035396577]",692147695806676.1,"[116826704991999.12, 359868202338671.4]",1.1321358399919952,[[0.45127296 1.10322797]],1.2968858666069425,[[0.40886163 0.93403457]],2.4,8.950225830078125,8.873938420171058,[[2.44814773 4.50125572]],9.482054710388184,9.536165595987846,[[1.87650073 3.7318731 ]],19.08535861332583,"[3.3151960508136895, 4.654894035396577]",692147695806676.1,"[116826704991999.12, 359868202338671.4]",1.1321358399919952,[[0.45127296 1.10322797]],1.2968858666069425,[[0.40886163 0.93403457]]
8,2.7,6.426898002624512,7.114789042407453,[[1.66521016 3.0554139 ]],8.790343284606934,8.671648880500085,[[1.66097257 2.9164986 ]],15.02940021473426,"[1.182236931330955, 2.837972747433133]",853228061111472.8,"[252980432336723.75, 425343755808531.75]",1.9296629820937456,[[0.85229784 1.27426458]],1.8523972627130785,[[0.67237573 1.01418288]],2.7,6.426898002624512,7.114789042407453,[[1.66521016 3.0554139 ]],8.790343284606934,8.671648880500085,[[1.66097257 2.9164986 ]],15.029400214734261,"[1.182236931330955, 2.837972747433133]",853228061111472.8,"[252980432336723.75, 425343755808531.75]",1.9296629820937459,[[0.85229784 1.27426458]],1.8523972627130783,[[0.67237573 1.01418288]]
9,3.0,2.733532190322876,4.519235196729303,[[1.37271496 2.37524059]],6.60666561126709,6.271430705286837,[[1.41171837 2.31917867]],11.983444267965451,"[1.0110607654349515, 1.9932591898890006]",674983060669036.0,"[223629452294822.12, 461925495553157.25]",2.002345064444854,[[0.88415215 1.70465804]],1.560304523758664,[[0.55153379 1.06955117]],3.0,2.733532190322876,4.519235196729303,[[1.37271496 2.37524059]],6.60666561126709,6.271430705286837,[[1.41171837 2.31917867]],11.983444267965453,"[1.0110607654349515, 1.9932591898890006]",674983060669036.0,"[223629452294822.12, 461925495553157.25]",2.002345064444854,[[0.88415215 1.70465804]],1.5603045237586641,[[0.55153379 1.06955117]]
