r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,bff_tb7,bff_err_tb7,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,bff_tb6,bff_err_tb6,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
-0.3,4.210981369018555,173.47471129466246,[[24.23316847 13.44897998]],0.012023020326141776,0.09,2.4186832904815674,175.67838201716182,[[30.94520076 13.64168185]],0.012023020326141776,0.09,181.3112074650931,"[23.981148424702866, 13.456803338304127]",2.2378032818597712e+17,"[1.4780076034977693e+17, 4.07735362801796e+17]",6.838843250740053,[[ 4.81796895 18.55022011]],14.3019272675086,[[10.05455017 38.2120259 ]]
-0.6,8.266666412353516,167.01643747167626,[[22.60602509 19.53355566]],0.042886173677061934,0.09,6.608358860015869,146.27681260288836,[[18.66468834 42.06535503]],0.042886173677061934,0.09,178.25319364234502,"[23.224282033408684, 16.14198245786099]",5.932714948811314e+16,"[1.2961948657373952e+16, 1.5581983433902515e+17]",1.873807363213241,[[0.63600681 7.02501978]],3.9137966357284495,[[ 1.31258243 14.46953229]]
-0.9,9.895329475402832,121.89951690839398,[[19.00612216 18.45752744]],0.08888600786532541,0.09,9.027311325073242,92.22261437706013,[[9.01101244 8.09715729]],0.08888600786532541,0.09,144.18446862400134,"[27.91943331719584, 29.772905979746326]",2.297479380906216e+16,"[2413767559896508.0, 4020158555993580.0]",1.0925870432729403,[[0.41177726 0.84494056]],2.2427897027138997,[[0.82337079 1.64872249]]
-1.2,7.8979339599609375,62.6840046981283,[[13.72921862 10.43581195]],0.14686842268907851,0.09,6.835914611816406,43.59659324377688,[[11.49667256  6.85416331]],0.14686842268907851,0.09,91.78143266326569,"[29.573693088690767, 47.96042541252069]",6259943403271219.0,"[851922654968719.0, 1555514710815615.0]",0.7025258360927026,[[0.42941171 1.09838984]],1.369368828126861,[[0.81035416 1.9121326 ]]
-1.5,7.799201488494873,43.35646540002403,[[8.48327789 6.51160306]],0.21370406872963832,0.09,6.808534622192383,29.366029800298136,[[9.04697341 5.90484441]],0.21370406872963832,0.09,74.83614794012496,"[24.617162434957237, 45.416635132161275]",3347100018519301.5,"[454042224887215.5, 970358471822515.5]",0.5494796929870217,[[0.35475056 0.91262723]],1.0371644481012683,[[0.64459105 1.49768592]]
-1.8,9.581127166748047,37.70473978708294,[[7.4909006  7.79800936]],0.2863258809287944,0.09,9.072969436645508,29.030745954911538,[[3.70045726 3.39765296]],0.2863258809287944,0.09,55.79240270881131,"[13.970649047378402, 18.269408095224534]",3052162412906301.5,"[303104739935826.5, 615198162544086.0]",0.8563513142541629,[[0.3962891  0.85590338]],1.523404746840104,[[0.65659701 1.29568874]]
-2.1,9.657830238342285,30.6785948391227,[[11.21056868  9.01625263]],0.36184001352770456,0.09,7.087208271026611,17.25690685465721,[[ 7.38590414 10.35196306]],0.36184001352770456,0.09,106.46197911111888,"[38.96511035542787, 55.189141059746916]",2207262422272316.5,"[496541933941138.75, 752251221237213.0]",0.1872578603327667,[[0.12198369 0.40029067]],0.37223392790610693,[[0.23692205 0.71602193]]
-2.4,11.518710136413574,29.847794034813155,[[10.52914488 10.42470741]],0.43763741308150395,0.09,7.865490913391113,16.206920309010613,[[6.49269953 9.56909149]],0.43763741308150395,0.09,123.19541449084436,"[42.22433333571472, 48.95294344769364]",2303287424567384.0,"[526390368149914.75, 636788534848841.0]",0.14804662000536567,[[0.08800853 0.26898237]],0.2992377989772141,[[0.17416355 0.49836803]]
-2.7,11.658109664916992,26.00287552982238,[[4.14086314 3.83326123]],0.5114821287208138,0.09,9.647917747497559,16.765724927845046,[[4.42228723 4.50043684]],0.5114821287208138,0.09,64.31841872098299,"[16.431395653322873, 28.256217559638472]",1542753591838589.5,"[160211811262835.5, 335400713677614.75]",0.33452906837132806,[[0.18185903 0.35739018]],0.6137462142843639,[[0.31579793 0.57087849]]
-3.0,12.343557357788086,24.119554237150048,[[3.03609358 2.89277106]],0.5815673892199709,0.09,10.33341121673584,15.878053280970876,[[3.64433729 3.48803895]],0.5815673892199709,0.09,59.26467148313276,"[13.679328341592758, 23.01212102879977]",1386140986402615.0,"[127569810776944.25, 244530826014055.25]",0.34877123486334954,[[0.17549001 0.30637767]],0.6289547536118159,[[0.29669123 0.47753417]]
