,r_empkep_bs,Tb7_empkep_bs,Tb6_empkep_bs,Texe_bs_empkep,Texe_err_bs_empkep,Ncol_bs_empkep,Ncol_err_bs_empkep
0,-0.10931136551284261,0.3732672929763794,0.8975797891616821,52.23367254840605,"[33.22507031249231, 32.86374040629383]",2.7557209035672355e+19,"[2.752717924877768e+19, 7.115801223922698e+20]"
1,-0.11510014997790156,0.2633623778820038,0.49300864338874817,53.01606492497043,"[32.30414780100104, 32.10691313109596]",2.4993597053490545e+18,"[2.486345881247435e+18, 2.4485940477396687e+20]"
2,-0.12136124578167891,-0.011211159639060497,0.01797901839017868,54.68462317879282,"[33.65272355259823, 31.167255896308504]",7.280011322848042e+17,"[7.19149151119783e+17, 6.636144576896693e+19]"
3,-0.12814746763188267,1.0453519821166992,0.20570477843284607,53.722094961892495,"[32.82322948637294, 32.02939026354616]",1.5304713637002885e+18,"[1.5195307830911875e+18, 1.6904213184239036e+20]"
4,-0.13551922432912553,1.5530670881271362,1.2763562202453613,50.24014176413196,"[33.24669212369153, 33.78800698914635]",1.1108789070224498e+21,"[9.568372105803095e+20, 1.0799298959397513e+21]"
5,-0.14354586776780529,1.33195960521698,0.376937597990036,55.03339460069954,"[33.47261127385082, 31.24010260443562]",4.0105810607540465e+18,"[3.996162321303391e+18, 3.5572187512098875e+20]"
6,-0.15230733006027183,1.2969166040420532,1.0452589988708496,52.43934012677065,"[33.89580580016821, 32.601123840208764]",5.719748427044833e+20,"[5.7151030118087977e+20, 9.974631572409436e+20]"
7,-0.1618961212365098,0.37343814969062805,0.5350130200386047,52.84893878277876,"[32.68919957762779, 32.205781582490545]",2.700004830334049e+18,"[2.6870791309833754e+18, 2.8036898347305465e+20]"
8,-0.17241978128895005,0.06560684740543365,0.3186797499656677,53.45154450198442,"[32.84889534928013, 31.759383190804364]",1.0774969878941455e+18,"[1.0693747250596232e+18, 1.2363044496982506e+20]"
9,-0.18400390857408397,0.6742421984672546,1.2007237672805786,48.549000107884694,"[33.19980875439157, 34.82106485176217]",5.621511225897754e+20,"[5.618159329509131e+20, 1.0087591319643623e+21]"
